product_category_name_english,exposures,unique_orders,unique_sellers,unique_products,price_median,freight_median,freight_mean,freight_p95,freight_max,freight_to_price_ratio_median,freight_to_price_ratio_p95,freight_to_price_ratio_max,product_weight_g_median,product_volume_cm3_median,cross_state_rate,delivered_rate,exposure_share
office_furniture,1691,1273,34,309,144.99,34.18,40.551123595505615,88.395,256.13,0.2435913467550331,0.562820352544068,1.6623089012716104,10975.0,70224.0,0.6114725014784151,0.9863985807214666,0.01501109631602308
unknown,1627,1473,263,623,69.99,15.23,17.58644130301168,37.55,162.08,0.2196927217674105,1.0522492470050029,5.076666666666667,450.0,3600.0,0.6306084818684696,0.9582052858020897,0.014442964935641367
consoles_games,1137,1062,82,317,59.0,15.1,17.438891820580476,36.406000000000034,157.27,0.2656093727675382,1.0269426106012882,3.7986651835372633,250.0,2618.0,0.6525945470536499,0.9577836411609498,0.010093209054593875
luggage_accessories,1092,1034,73,349,99.945,18.43,27.880247252747253,75.469,170.11,0.23007331204326195,0.5281032290973432,1.683789192795197,1250.0,26400.0,0.6538461538461539,0.9862637362637363,0.009693741677762983
construction_tools_construction,929,748,128,400,89.0,17.45,22.22864370290635,58.03,321.46,0.2197101449275362,0.798460609287522,26.23529411764706,1200.0,5940.0,0.5909580193756727,0.9860064585575888,0.008246782068353307
home_appliances,771,764,48,370,47.59,16.11,19.220363164721142,45.31,178.11,0.3084663428174878,0.9541046626984128,3.272222222222222,475.0,5967.0,0.5616083009079118,0.9779507133592736,0.006844207723035952
musical_instruments,680,628,70,289,94.83500000000001,18.23,27.409544117647062,82.35699999999996,294.76,0.1710789766407119,0.6838454151723594,5.06938775510204,800.0,8649.0,0.7058823529411765,0.9573529411764706,0.006036395916555704
small_appliances,679,630,105,231,99.0,17.95,23.593888070692195,57.282000000000004,195.76,0.1856,0.7750511247443763,2.8046153846153845,1150.0,10500.0,0.6126656848306333,0.9690721649484536,0.00602751886373724
home_construction,604,490,68,225,95.2,17.145,22.901059602649006,60.78150000000001,162.92,0.1957720588235294,0.6646850998463905,2.6104761904761906,900.0,9600.0,0.6225165562913907,0.9867549668874173,0.005361739902352419
books_general_interest,553,512,54,216,44.9,15.56,16.62842676311031,26.25,171.32,0.2648729446935725,0.8432317725752505,4.2716666666666665,500.0,4608.0,0.6347197106690777,0.9710669077757685,0.004909010208610742
food,510,450,58,82,48.945,12.94,14.256921568627451,25.6575,58.84,0.282078853046595,0.8005859263488433,1.8225806451612905,330.0,2880.0,0.4568627450980392,0.9784313725490196,0.004527296937416778
furniture_living_room,503,422,56,156,103.97,26.72,35.72200795228628,88.018,237.11,0.2606516290726817,0.6996885880062603,1.2573224746392342,7500.0,36190.0,0.68389662027833,0.9840954274353877,0.004465157567687528
home_confort,434,397,20,111,89.9,16.81,19.588087557603686,46.98299999999991,96.61,0.157307249712313,0.5555172413793104,2.1962025316455698,1825.0,21200.0,0.5552995391705069,0.988479262672811,0.003852640923213493
drinks,379,297,36,81,47.49,15.1,15.148416886543536,27.12,58.92,0.3191379310344828,1.1185365853658535,3.0383333333333336,333.0,8000.0,0.5197889182058048,0.9525065963060686,0.003364403018197958
audio,364,350,36,58,89.0,15.23,15.688021978021977,25.614999999999995,52.67,0.182966472303207,1.0221476510067111,1.7160804020100504,400.0,2700.0,0.6153846153846154,0.9945054945054945,0.003231247225920994
market_place,311,280,59,104,62.8,15.2,17.543601286173633,32.815,147.57,0.2634543178973717,0.7661946904267836,1.778,527.0,4356.0,0.6463022508038585,0.9807073954983923,0.002760763426542388
construction_tools_lights,304,244,37,78,104.5,18.43,24.94671052631579,63.82449999999995,143.76,0.19713288288288283,0.5919463087248322,1.217426059152678,1050.0,5879.5,0.5394736842105263,0.9901315789473685,0.002698624056813138
air_conditioning,297,253,52,124,139.99,18.46,22.724680134680135,49.76999999999998,115.43,0.1530884808013355,0.5493734009396656,1.4164345403899723,2950.0,17500.0,0.6430976430976431,0.9730639730639731,0.002636484687083888
kitchen_dining_laundry_garden_furniture,281,248,52,94,110.0,31.1,42.702597864768684,106.31,251.39,0.2710417892878163,0.8662952646239555,1.583021582733813,6450.0,29791.0,0.5338078291814946,0.9750889679715302,0.00249445184198846
food_drink,278,227,34,104,38.745000000000005,16.11,16.215791366906473,26.958999999999996,58.78,0.4173529411764706,1.3033333333333337,1.9610678531701888,900.0,4732.0,0.6151079136690647,0.9676258992805755,0.002467820683533067
industry_commerce_and_business,268,235,29,68,103.0,23.09,29.42044776119403,59.9915,317.47,0.23099472573839655,0.7286956521739131,1.7255555555555555,6100.0,41200.0,0.5895522388059702,0.9888059701492538,0.0023790501553484244
books_technical,267,260,26,123,57.49,15.23,16.041423220973783,27.276999999999997,56.96,0.257,0.9232745614035085,1.874285714285714,850.0,1827.0,0.5917602996254682,0.9850187265917603,0.00237017310252996
fixed_telephony,264,217,49,116,64.485,15.1,17.567462121212124,31.856499999999993,77.22,0.23715694379380345,1.3177825526014606,2.3516666666666666,394.0,2700.0,0.625,0.9659090909090909,0.0023435419440745674
