route_state,exposures,unique_orders,unique_sellers,unique_products,price_median,freight_median,freight_mean,freight_p95,freight_max,freight_to_price_ratio_median,freight_to_price_ratio_p95,freight_to_price_ratio_max,product_weight_g_median,product_volume_cm3_median,cross_state_rate,delivered_rate,exposure_share
RS_to_RS,327,295,70,211,105.0,13.61,15.952629969418961,36.73499999999999,72.34,0.1417171717171717,0.4934954059253557,1.782857142857143,900.0,7776.0,0.0,0.981651376146789,0.0029027962716378164
SC_to_PR,324,288,84,220,79.0,16.675,21.901296296296294,45.47,186.38,0.22883042606010645,0.8786430544221944,1.6336336336336337,700.0,6500.0,1.0,0.9969135802469136,0.0028761651131824235
MG_to_RS,315,285,85,223,83.9,26.89,32.53088888888889,79.71000000000005,161.36,0.3905797101449275,1.0494983277591974,3.675675675675676,1067.0,8000.0,1.0,0.9841269841269841,0.002796271637816245
SC_to_SC,311,266,89,213,74.9,13.75,17.00289389067524,35.985,81.93,0.1841402337228714,0.5474943904263276,1.3284848484848486,800.0,8112.0,0.0,0.9581993569131833,0.002760763426542388
MG_to_SC,288,259,84,213,89.99,20.14,28.96142361111111,64.14,222.38,0.3028300677773781,1.004530598119624,2.1821305841924397,900.0,7783.0,1.0,0.9756944444444444,0.0025565912117177098
SP_to_AL,286,266,159,254,89.9,34.15,34.38409090909091,60.6875,147.32,0.3732616943720679,1.6999183389074695,3.794444444444444,700.0,6000.0,1.0,0.9545454545454546,0.0025388371060807813
RS_to_RJ,267,249,69,179,120.9,21.56,28.217453183520597,69.21,120.79,0.2264738598442714,0.6935912794853467,1.4845000000000002,650.0,8000.0,1.0,0.9850187265917603,0.00237017310252996
SP_to_SE,241,212,132,194,79.99,34.15,38.11473029045643,80.11,158.38,0.4135915845717148,0.999855072463768,2.543,700.0,8602.0,1.0,0.983402489626556,0.002139369729249889
RJ_to_PR,234,207,52,162,108.0,17.075,19.642478632478632,28.262499999999996,164.93,0.1553273273273273,0.8058201058201059,1.860204081632653,600.0,7420.5,1.0,0.9871794871794872,0.002077230359520639
SP_to_TO,229,201,137,199,79.9,29.08,37.331659388646294,84.096,293.27,0.3744597249508841,1.6111352762070466,2.671571906354515,600.0,5746.0,1.0,0.9868995633187773,0.0020328450954283177
RJ_to_RS,227,208,63,164,104.9,18.94,21.793788546255506,36.04699999999993,106.77,0.1990526315789473,0.9061406917994559,2.8030050083472453,558.0,6732.0,1.0,0.9647577092511013,0.0020150909897913892
MG_to_DF,221,193,73,172,74.39,16.81,22.026832579185523,53.47,98.02,0.2567827130852341,1.208967173738991,3.889682539682539,800.0,8000.0,1.0,0.9773755656108597,0.0019618286728806038
RS_to_MG,219,190,56,139,129.8,22.85,29.33579908675799,70.05299999999995,148.71,0.2143929912390487,0.8676266555157417,2.08,800.0,8448.0,1.0,0.9908675799086758,0.001944074567243675
MG_to_ES,206,180,61,144,80.95,19.485,25.660631067961166,67.5,110.04,0.3028187919463087,0.9819407439883985,1.9182608695652172,962.5,6514.5,1.0,0.9757281553398058,0.0018286728806036396
SP_to_RO,199,172,122,178,81.8,34.25,40.28678391959799,85.69999999999995,217.53,0.4448,1.8167202572347267,2.630970724191063,600.0,6300.0,1.0,0.9798994974874372,0.0017665335108743897
PR_to_DF,178,153,68,138,99.99,25.63,28.447303370786518,48.3515,150.05,0.2879004245321872,1.298161442131292,1.958888888888889,745.0,6855.5,1.0,0.9887640449438202,0.00158011540168664
MG_to_GO,173,155,66,124,99.9,19.74,28.948959537572254,65.77200000000002,164.98,0.3142857142857143,1.0174603174603174,2.991652754590985,625.0,6450.0,1.0,0.976878612716763,0.0015357301375943187
PR_to_BA,167,148,68,134,129.0,35.01,44.49790419161676,108.47699999999966,284.6,0.2771223021582734,1.3714859437751004,5.739495798319327,933.0,9350.0,1.0,0.9760479041916168,0.001482467820683533
BA_to_SP,153,141,12,56,245.0,25.74,34.25516339869281,61.15200000000002,91.68,0.1137799043062201,0.4069230769230769,2.2781854569713142,700.0,8064.0,1.0,0.9803921568627451,0.0013581890812250333
RS_to_PR,149,142,43,110,99.0,17.94,20.83718120805369,39.72,102.74,0.2165206508135169,0.6118314058911231,1.0572,600.0,6250.0,1.0,0.9932885906040269,0.001322680869951176
RJ_to_BA,145,138,56,116,119.9,26.34,29.367931034482762,51.81,116.22,0.194019401940194,1.0074074074074075,1.977753058954394,579.0,5100.0,1.0,0.9793103448275862,0.0012871726586773191
GO_to_SP,141,130,29,90,79.9,22.99,26.336170212765957,43.18,227.66,0.2979966611018364,1.2879396984924625,1.6100456621004566,600.0,6720.0,1.0,0.9716312056737588,0.0012516644474034621
